year,name_last,name_first,team,position,salary,years,total_value,avg_annual
2024,Greene,Riley,Tigers,OF,766300,,,
2024,White,Mitch,Blue Jays,RHP,766400,,,
2024,Marsh,Brandon,Phillies,OF,766500,,,
2024,Peraza,Oswald,Yankees,SS,766600,,,
2024,Contreras,William,Brewers,C,766900,,,
2024,Morel,Christopher,Cubs,3B,767000,,,
2024,Meyers,Jake,Astros,OF,767300,,,
2024,France,J.P.,Astros,RHP,767600,,,
2024,De La Cruz,Bryan,Marlins,OF,768000,,,
2024,Stott,Bryson,Phillies,2B,768000,,,
2024,Ramirez,Yohan,Mets,RHP,768750,,,
2024,Diaz,Yainer,Astros,C,768900,,,
2024,Thomas,Alek,Diamondbacks,OF,769500,,,
2024,Adell,Jo,Angels,OF,770000,,,
2024,Detmers,Reid,Angels,LHP,770000,,,
2024,Moniak,Mickey,Angels,OF,770000,,,
2024,Thaiss,Matt,Angels,C,770000,,,
2024,Outman,James,Dodgers,OF,770000,,,
2024,Bart,Joey,Giants,C,770000,,,
2024,Doval,Camilo,Giants,RHP,770000,,,
2024,Bender,Anthony,Marlins,RHP,770000,,,
2024,Houck,Tanner,Red Sox,RHP,770000,,,
2024,Reid-Foley,Sean,Mets,RHP,772750,,,
2024,Weems,Jordan,Nationals,RHP,773500,,,
2024,Brown,Hunter,Astros,RHP,774500,,,
2024,Vieira,Thyago,Brewers,RHP,777500,,,
2024,Manoah,Alek,Blue Jays,RHP,782500,,,
2024,Cabrera,Oswaldo,Yankees,OF,783000,,,
2024,Pena,Jeremy,Astros,SS,783500,,,
2024,Perdomo,Geraldo,Diamondbacks,SS,786000,,,
2024,Scott,Tayler,Astros,RHP,790000,,,
2024,Alcala,Jorge,Twins,RHP,790000,,,
2024,Raleigh,Cal,Mariners,C,795000,,,
2024,Kirby,George,Mariners,RHP,798600,,,
2024,Garrett,Stone,Nationals,OF,798600,,,
2024,Adams,Austin,Athletics,RHP,800000,,,
2024,Stratton,Hunter,Pirates,RHP,800000,,,
2024,Shaw,Bryan,White Sox,RHP,800000,,,
2024,Burdi,Nick,Yankees,RHP,800000,,,
2024,Pearson,Nate,Blue Jays,RHP,800000,,,
2024,Perkins,Blake,Brewers,OF,800000,,,
2024,Crochet,Garrett,White Sox,LHP,800000,,,
2024,Volpe,Anthony,Yankees,SS,810100,,,
2024,Akin,Keegan,Orioles,LHP,825000,,,
2024,Ryan,Ryder,Pirates,RHP,830000,,,
2024,Antone,Tejay,Reds,RHP,830000,,,
2024,Mize,Casey,Tigers,RHP,830000,,,
2024,Quijada,Jose,Angels,LHP,840000,,,
2024,Ahmed,Nick,Giants,SS,850000,,,
2024,McFarland,T.J.,Athletics,LHP,850000,,,
2024,Singleton,Jonathan,Astros,1B,850000,,,
2024,Wade,Tyler,Padres,3B,850000,,,
2024,Covey,Dylan,Phillies,RHP,850000,,,
2024,Stubbs,Garrett,Phillies,C,850000,,,
2024,Fleming,Josh,Pirates,LHP,850000,,,
2024,Romero,JoJo,Cardinals,LHP,860000,,,
2024,Gonzalez,Victor,Yankees,LHP,860000,,,
2024,Bazardo,Eduard,Mariners,RHP,870600,,,
2024,Sano,Miguel,Angels,3B,875000,,,
2024,Haggerty,Sam,Mariners,2B,900000,,,
2024,Gordon,Nick,Marlins,OF,900000,,,
2024,Stewart,Brock,Twins,RHP,900000,,,
2024,Hamilton,Ian,Yankees,RHP,923050,,,
2024,Suarez,Jose,Angels,LHP,925000,,,
2024,Mantiply,Joe,Diamondbacks,LHP,925000,,,
2024,Staumont,Josh,Twins,RHP,950000,,,
2024,Newcomb,Sean,Athletics,LHP,1000000,,,
2024,Strider,Spencer,Braves,RHP,1000000,6 (2023-28),75000000,12500000
2024,Treinen,Blake,Dodgers,RHP,1000000,,,
2024,Vesia,Alex,Dodgers,LHP,1000000,,,
2024,Smith,Burch,Marlins,RHP,1000000,,,
2024,Tonkin,Michael,Mets,RHP,1000000,,,
2024,Bautista,Felix,Orioles,RHP,1000000,,,
2024,Kemp,Tony,Orioles,OF,1000000,,,
2024,Webb,Jacob,Orioles,RHP,1000000,,,
2024,Profar,Jurickson,Padres,OF,1000000,,,
2024,Devenski,Chris,Rays,RHP,1000000,,,
2024,Cave,Jake,Rockies,OF,1000000,,,
2024,Pillar,Kevin,White Sox,OF,1000000,,,
2024,Hernandez,Carlos,Royals,RHP,1012500,,,
2024,Wilson,Bryse,Brewers,RHP,1025000,,,
2024,Sborz,Josh,Rangers,RHP,1025000,,,
2024,Burke,Brock,Rangers,LHP,1035000,,,
2024,Brentz,Jake,Royals,LHP,1050000,2 (2023-24),1900000,950000
2024,Okert,Steven,Twins,LHP,1062500,,,
2024,Sandlin,Nick,Guardians,RHP,1075000,,,
2024,Guillorme,Luis,Braves,INF,1100000,,,
2024,Vargas,Ildemaro,Nationals,INF,1100000,,,
2024,Taylor,Josh,Royals,LHP,1100000,,,
2024,De Los Santos,Enyel,Padres,RHP,1160000,,,
2024,Young,Alex,Reds,LHP,1160000,,,
2024,Hentges,Sam,Guardians,LHP,1162500,,,
2024,Bello,Brayan,Red Sox,RHP,1166667,6 (2024-29),55000000,9166667
2024,Merryweather,Julian,Cubs,RHP,1175000,,,
2024,Schreiber,John,Royals,RHP,1175000,,,
2024,Beede,Tyler,Guardians,RHP,1200000,,,
2024,Waguespack,Jacob,Rays,RHP,1200000,,,
2024,Thornton,Trent,Mariners,RHP,1200000,,,
2024,Perez,Cionel,Orioles,LHP,1200000,,,
2024,Ginkel,Kevin,Diamondbacks,RHP,1225000,,,
2024,Lux,Gavin,Dodgers,2B,1225000,,,
2024,Topa,Justin,Twins,RHP,1225000,,,
2024,Hernandez,Jonathan,Rangers,RHP,1245000,,,
2024,Walsh,Jared,Rangers,1B,1250000,,,
2024,Clarke,Taylor,Brewers,RHP,1250000,,,
2024,Voth,Austin,Mariners,RHP,1250000,,,
2024,Anderson,Chase,Red Sox,RHP,1250000,,,
2024,Lambert,Peter,Rockies,RHP,1250000,,,
2024,Toro,Abraham,Athletics,INF,1275000,,,
2024,Chargois,JT,Marlins,RHP,1285000,,,
2024,Kinley,Tyler,Rockies,RHP,1300000,,,
2024,Jackson,Jay,Twins,RHP,1300000,,,
2024,Bauers,Jake,Brewers,1B,1350000,,,
2024,Thompson,Ryan,Diamondbacks,RHP,1350000,,,
2024,Olivares,Edward,Pirates,OF,1350000,,,
2024,Kirilloff,Alex,Twins,INF,1350000,,,
2024,Stewart,DJ,Mets,OF,1380000,,,
2024,Law,Derek,Nationals,RHP,1500000,,,
2024,Wilson,Justin,Reds,LHP,1500000,,,
2024,Leone,Dominic,White Sox,RHP,1500000,,,
2024,Gott,Trevor,Athletics,RHP,1500000,,,
2024,Ross,Joe,Brewers,RHP,1500000,,,
2024,Leiter Jr.,Mark,Cubs,RHP,1500000,,,
2024,Grichuk,Randal,Diamondbacks,OF,1500000,,,
2024,Rainey,Tanner,Nationals,RHP,1500000,,,
2024,Tate,Dillon,Orioles,RHP,1500000,,,
2024,Rosario,Amed,Rays,INF,1500000,,,
2024,McGuire,Reese,Red Sox,C,1500000,,,
2024,Hudson,Dakota,Rockies,RHP,1500000,,,
2024,Stallings,Jacob,Rockies,C,1500000,,,
2024,Tovar,Ezequiel,Rockies,SS,1500000,7 (2024-30),63500000,9071428
2024,Urshela,Gio,Tigers,3B,1500000,,,
2024,Trivino,Lou,Yankees,RHP,1500000,,,
2024,Cabrera,Genesis,Blue Jays,LHP,1512500,,,
2024,Rogers,Trevor,Marlins,LHP,1530000,,,
2024,Anderson,Nick,Royals,RHP,1575000,,,
2024,McKenzie,Triston,Guardians,RHP,1600000,,,
2024,Stephan,Trevor,Guardians,RHP,1600000,4 (2023-26),10000000,2500000
2024,Borucki,Ryan,Pirates,LHP,1600000,,,
2024,Cimber,Adam,Angels,RHP,1650000,,,
2024,Payamps,Joel,Brewers,RHP,1650000,,,
2024,Beeks,Jalen,Rockies,LHP,1675000,,,
2024,Andujar,Miguel,Athletics,OF,1700000,,,
2024,Sosa,Edmundo,Phillies,INF,1700000,,,
2024,Jankowski,Travis,Rangers,OF,1700000,,,
2024,Rogers,Jake,Tigers,C,1700000,,,
2024,Cooper,Garrett,Cubs,1B,1750000,,,
2024,Urena,Jose,Rangers,RHP,1750000,,,
2024,Cisnero,Jose,Angels,RHP,1750000,,,
2024,Abreu,Bryan,Astros,RHP,1750000,,,
2024,DeJong,Paul,White Sox,SS,1750000,,,
2024,Flexen,Chris,White Sox,RHP,1750000,,,
2024,Puk,A.J.,Marlins,LHP,1800000,,,
2024,Wright,Kyle,Royals,RHP,1800000,,,
2024,Hill,Tim,White Sox,LHP,1800000,,,
2024,Madrigal,Nick,Cubs,INF,1810000,,,
